gene,log2FC
AKAP17A,22.35443
AKAP1,21.617735
AKAP2,
AKAP8L,25.540375
AKAP8,
AKIRIN2,21.983415
AKNA,
AKT1,21.12943
ALDOA,24.333135
ALG3,
ALOX15B,19.716929999999998
ALPK3,
ALS2,22.64858
AMMECR1L,20.780325
AMOTL2,
AMPD2,
ANAPC1,17.566365
ANAPC2,20.684224999999998
ANAPC4,
ANKHD1,19.98116
ANKLE2,
ANKRD11,
ANKRD13D,20.97155
ANKRD26,24.018465
ANKRD27,19.4124
ANKRD28,25.508050000000004
ANKRD40,21.795155
ANKRD50,22.44442
ANKRD52,20.245125
ANKRD54,
ANKS6,
ANKZF1,25.134050000000002
ANXA2;ANXA2P2,19.693075
AOC1,18.077424999999998
AP1S1,20.7193
AP2A1,16.700195
AP3B2,24.123045
AP4E1,
APBA3,21.079315
APBB2,20.739894999999997
APEH,19.379025
API5,26.36893
APIP,27.659329999999997
APOL2,22.573030000000003
APP,19.88588
APRT,18.7154
ARAF,20.41149
ARAP1,16.29631
ARF3;ARF1,20.93141
ARFGAP1,23.68117
ARFGAP2,
ARFGAP3,17.829975
ARFGEF1,22.992255
ARGLU1,22.971175000000002
ARHGAP10,12.671645999999999
ARHGAP17,19.007035
ARHGAP1,
ARHGAP27,
ARHGAP29,22.744825
ARHGAP39,18.95818
ARHGAP44,
ARHGAP5,19.43977
ARHGAP6,15.415175
ARHGDIA,22.499825
ARHGEF11,23.994210000000002
ARHGEF18,
ARHGEF19,
ARHGEF26,23.679389999999998
ARHGEF7;ARHGEF6,23.518189999999997
ARID1A,17.238889999999998
ARID3A,19.126625
ARID4A,16.677005
ARL2,15.36755
ARL6IP4,19.372855
ARMCX3,18.1714
ARPP19,23.60316
ARRB1,26.591875
ARRDC1,
ARVCF,14.4076065
ASAP1,19.718719999999998
ASAP2,24.63957
ASB8,15.344439999999999
ASCC3,23.22106
ASCL2,23.95888
ASF1B,
ASH2L,20.77985
ASMTL,22.759125
ASPSCR1,
ASUN,25.07965
ASXL1,
ASXL2,
ATAD2B,
ATAT1,19.980555
ATF2,22.74222
ATF7IP,24.052035
ATG13,23.062855
ATG14,14.206188999999998
ATG2B,
ATG9A,
ATP13A3,22.475695
ATP2B4,16.636644999999998
ATP6V0A2,20.451815
ATR,16.161540000000002
ATXN1L,21.829055
ATXN1,22.30792
ATXN2,22.22333
ATXN7L3,19.870505
AUNIP,17.265575
AUTS2,22.76735
AXIN1,
BACH1,23.27406
BAG6,25.44885
BAIAP2,
BAP18,25.221330000000002
BARD1,24.37746
BASP1,23.419484999999998
BAZ1A,24.50145
BAZ1B,22.17551
BAZ2A,
BBX,20.80422
BCCIP,24.637349999999998
BCKDHA,23.734375
BCL10,18.894005
BCL2L11,
BCL2L12,
BCL2L13,16.22991
BCL2L14,25.718215
BCL3,21.770384999999997
BCL6,22.48876
BCL9,20.58292
BCR,22.43326
BEND3,21.077115
BET1L,23.312595
BICD2,25.904955
BIN1,21.58502
BIRC6,19.266355
BLNK,21.427834999999998
BLZF1,
BMP2K,20.26058
BMS1,
BNIP2,26.25871
BOLA1,24.37108
BOP1,21.51339
BORA,20.685285
BRAF,
BRAP,25.66965
BRAT1,24.596885
BRCC3,15.019822
BRD2,
BRD3,24.86453
BRD4,24.275425
BRD9,18.12622
BRF1,22.004884999999998
BRF2,20.222225
BRIP1,20.556355
BRMS1L,23.75716
BRPF1,21.089425
BRPF3,19.668395
BRWD1,19.8978
BSDC1,20.10476
BTBD7,22.361255
BTF3,
BUB1B,24.526205
BUB1,26.365475
BUD13,20.55497
BYSL,20.73647
BZW1,
BZW2,
C10orf12,21.3014
C10orf32,21.503015
C11orf74,19.87281
C12orf45,26.273705
C12orf79,18.312079999999998
C15orf52,20.891255
C17orf100,23.94337
C17orf59,16.020215
C17orf75,21.80114
C17orf85,20.1108
C17orf96,15.066613
C19orf47,16.95187
C19orf54,
C19orf57,17.371254999999998
C1orf198,
C1orf226,20.757525
C1orf52,22.25074
C2CD2,19.08276
C2CD3,21.552155
C2orf44,22.104039999999998
C6orf106,24.09323
C6orf141,22.86664
C7orf43,
C7orf50,23.901525
C8orf33,
C9orf142,26.691654999999997
C9orf152,
C9orf16,19.737275
C9orf78,15.94876
CAAP1,16.62551
CABIN1,20.645585
CALCOCO2,17.9133
CALM1,
CALML5,23.32556
CAMK2G,19.465075
CAMKK1,22.508565
CAMKK2,23.081945
CAMSAP1,20.259819999999998
CAMSAP2,24.481415
CAND1,21.413384999999998
CANX,24.758629999999997
CAP1,25.555915
CAP2,22.977490000000003
CAPZA2,21.100985
CASC3,21.445405
CASC4,18.510365
CASC5,18.787195
CASKIN1,20.66631
CASP2,18.40616
CASP8AP2,22.51896
CBFA2T2,23.768895
CBFA2T3,
CBFB,21.6189
CBLB,19.14445
CBLL1,18.72347
CBX1,22.325115
CBX4,22.364345
CBX6,18.88292
CBX8,23.726685
CC2D1A,21.222345
CCAR1,21.54029
CCDC102A,24.130725
CCDC125,
CCDC130,18.918300000000002
CCDC149,22.548455
CCDC14,17.88291
CCDC25,17.201715
CCDC43,17.760275
CCDC61,22.099625
CCDC64B,20.23718
CCDC85C,18.529655
CCDC86,25.433419999999998
CCDC93,20.85573
CCDC94,18.21139
CCDC97,14.6178685
CCM2,25.111675
CCNB2,24.35499
CCNE1,17.14894
CCNE2,15.092558499999999
CCNH,19.17071
CCNK,26.745145
CCNL2,18.104585
CCNT2,20.652555
CCNYL1,23.788204999999998
CCNY,24.788155
CCP110,25.908025000000002
CCSER1,
CCZ1;CCZ1B,23.270685
CD2BP2,
CD3EAP,21.106015
CDC16,23.07799
CDC20,
CDC23,23.492615
CDC25C,22.22699
CDC26,22.764110000000002
CDC40,18.649235
CDC42BPA,
CDC42EP2,18.578405
CDC6,20.500715
CDC73,
CDCA2,13.832413
CDCA7L,16.932995
CDCA8,21.398785
CDK14,24.516885
CDK16;CDK17,26.535714999999996
CDK17,23.941300000000002
CDK18,21.57392
CDK2;CDK3;CDK1,23.06986
CDK5,
CDK5RAP2,
CDK7,21.97908
CDK9,19.931275
CDKL5,
CDKN1A,20.807115
CDKN1B,24.18947
CDR2,18.4513
CDT1,
CDV3,21.651045
CDYL,22.87652
CEBPZ,16.938095
CELSR2,18.246685
CENPB,16.157294999999998
CENPC,21.695909999999998
CENPI,
CENPN,20.46836
CENPT,23.585630000000002
CENPU,18.31372
CEP131,20.496585
CEP152,21.655425
CEP164,19.319875
CEP170;CEP170P1,19.423325
CEP192,
CEP350,
CEP41,11.6039515
CEP55,21.35255
